report_quarter,project_stage,planning_year,load_mw
2025Q1,Contract for Electric Service,2024,196.0
2025Q1,Contract for Electric Service,2025,833.0
2025Q1,Contract for Electric Service,2026,1942.0
2025Q1,Contract for Electric Service,2027,3029.0
2025Q1,Contract for Electric Service,2028,3595.0
2025Q1,Contract for Electric Service,2029,4222.0
2025Q1,Contract for Electric Service,2030,4338.0
2025Q1,Contract for Electric Service,2031,4338.0
2025Q1,Contract for Electric Service,2032,4410.0
2025Q1,Contract for Electric Service,2033,4482.0
2025Q1,Contract for Electric Service,2034,4554.0
2025Q1,Contract for Electric Service,2035,4554.0
2025Q1,Contract for Electric Service,2036,4554.0
2025Q1,Contract for Electric Service,2037,4554.0
2025Q1,Request for Service,2023,0.0
2025Q1,Request for Service,2024,61.0
2025Q1,Request for Service,2025,91.0
2025Q1,Request for Service,2026,174.0
2025Q1,Request for Service,2027,843.0
2025Q1,Request for Service,2028,2051.0
2025Q1,Request for Service,2029,2822.0
2025Q1,Request for Service,2030,3330.0
2025Q1,Request for Service,2031,3590.0
2025Q1,Request for Service,2032,3659.0
2025Q1,Request for Service,2033,3698.0
2025Q1,Request for Service,2034,3720.0
2025Q1,Request for Service,2035,3720.0
2025Q1,Request for Service,2036,3720.0
2025Q1,Request for Service,2037,3720.0
2025Q1,Technical Review,2023,0.0
2025Q1,Technical Review,2024,0.0
2025Q1,Technical Review,2025,84.0
2025Q1,Technical Review,2026,3563.0
2025Q1,Technical Review,2027,10612.0
2025Q1,Technical Review,2028,19580.0
2025Q1,Technical Review,2029,27755.0
2025Q1,Technical Review,2030,34644.0
2025Q1,Technical Review,2031,39665.0
2025Q1,Technical Review,2032,42279.0
2025Q1,Technical Review,2033,42681.0
2025Q1,Technical Review,2034,43132.0
2025Q1,Technical Review,2035,43432.0
2025Q1,Technical Review,2036,43582.0
2025Q1,Technical Review,2037,43819.0
2025Q2,Contract for Electric Service,2023,10.0
2025Q2,Contract for Electric Service,2024,257.0
2025Q2,Contract for Electric Service,2025,923.0
2025Q2,Contract for Electric Service,2026,2032.0
2025Q2,Contract for Electric Service,2027,3119.0
2025Q2,Contract for Electric Service,2028,3685.0
2025Q2,Contract for Electric Service,2029,4312.0
2025Q2,Contract for Electric Service,2030,4428.0
2025Q2,Contract for Electric Service,2031,4428.0
2025Q2,Contract for Electric Service,2032,4500.0
2025Q2,Contract for Electric Service,2033,4572.0
2025Q2,Contract for Electric Service,2034,4644.0
2025Q2,Contract for Electric Service,2035,4644.0
2025Q2,Contract for Electric Service,2036,4644.0
2025Q2,Contract for Electric Service,2037,4644.0
2025Q2,Request for Service,2023,0.0
2025Q2,Request for Service,2024,0.0
2025Q2,Request for Service,2025,0.0
2025Q2,Request for Service,2026,72.0
2025Q2,Request for Service,2027,1033.0
2025Q2,Request for Service,2028,2576.0
2025Q2,Request for Service,2029,3257.0
2025Q2,Request for Service,2030,3765.0
2025Q2,Request for Service,2031,4025.0
2025Q2,Request for Service,2032,4094.0
2025Q2,Request for Service,2033,4133.0
2025Q2,Request for Service,2034,4155.0
2025Q2,Request for Service,2035,4155.0
2025Q2,Request for Service,2036,4155.0
2025Q2,Request for Service,2037,4155.0
2025Q2,Technical Review,2023,0.0
2025Q2,Technical Review,2024,0.0
2025Q2,Technical Review,2025,0.0
2025Q2,Technical Review,2026,2994.0
2025Q2,Technical Review,2027,10118.0
2025Q2,Technical Review,2028,19574.0
2025Q2,Technical Review,2029,29185.0
2025Q2,Technical Review,2030,37445.0
2025Q2,Technical Review,2031,43082.0
2025Q2,Technical Review,2032,45968.0
2025Q2,Technical Review,2033,46694.0
2025Q2,Technical Review,2034,47226.0
2025Q2,Technical Review,2035,47526.0
2025Q2,Technical Review,2036,47696.0
2025Q2,Technical Review,2037,48023.0
2025Q3,Contract for Electric Service,2023,10.0
2025Q3,Contract for Electric Service,2024,257.0
2025Q3,Contract for Electric Service,2025,857.0
2025Q3,Contract for Electric Service,2026,1781.0
2025Q3,Contract for Electric Service,2027,3787.0
2025Q3,Contract for Electric Service,2028,4967.0
2025Q3,Contract for Electric Service,2029,5820.0
2025Q3,Contract for Electric Service,2030,6303.0
2025Q3,Contract for Electric Service,2031,6453.0
2025Q3,Contract for Electric Service,2032,6525.0
2025Q3,Contract for Electric Service,2033,6525.0
2025Q3,Contract for Electric Service,2034,6525.0
2025Q3,Contract for Electric Service,2035,6525.0
2025Q3,Contract for Electric Service,2036,6525.0
2025Q3,Contract for Electric Service,2037,6525.0
2025Q3,Request for Service,2023,0.0
2025Q3,Request for Service,2024,0.0
2025Q3,Request for Service,2025,0.0
2025Q3,Request for Service,2026,0.0
2025Q3,Request for Service,2027,793.0
2025Q3,Request for Service,2028,2837.0
2025Q3,Request for Service,2029,3218.0
2025Q3,Request for Service,2030,3912.0
2025Q3,Request for Service,2031,4216.0
2025Q3,Request for Service,2032,4431.0
2025Q3,Request for Service,2033,4474.0
2025Q3,Request for Service,2034,4474.0
2025Q3,Request for Service,2035,4474.0
2025Q3,Request for Service,2036,4474.0
2025Q3,Request for Service,2037,4474.0
2025Q3,Technical Review,2023,0.0
2025Q3,Technical Review,2024,0.0
2025Q3,Technical Review,2025,0.0
2025Q3,Technical Review,2026,1781.0
2025Q3,Technical Review,2027,8034.0
2025Q3,Technical Review,2028,16626.0
2025Q3,Technical Review,2029,25752.0
2025Q3,Technical Review,2030,32969.0
2025Q3,Technical Review,2031,37014.0
2025Q3,Technical Review,2032,38663.0
2025Q3,Technical Review,2033,39314.0
2025Q3,Technical Review,2034,39662.0
2025Q3,Technical Review,2035,39774.0
2025Q3,Technical Review,2036,39774.0
2025Q3,Technical Review,2037,39864.0
2025Q4,Contract for Electric Service,2025,857.4
2025Q4,Contract for Electric Service,2026,1803.6
2025Q4,Contract for Electric Service,2027,3834.0
2025Q4,Contract for Electric Service,2028,6360.0
2025Q4,Contract for Electric Service,2029,7179.0
2025Q4,Contract for Electric Service,2030,7643.0
2025Q4,Contract for Electric Service,2031,7793.0
2025Q4,Contract for Electric Service,2032,7865.0
2025Q4,Contract for Electric Service,2033,7865.0
2025Q4,Contract for Electric Service,2034,7865.0
2025Q4,Contract for Electric Service,2035,7865.0
2025Q4,Contract for Electric Service,2036,7865.0
2025Q4,Contract for Electric Service,2037,7865.0
2025Q4,Request for Service,2025,0.0
2025Q4,Request for Service,2026,0.0
2025Q4,Request for Service,2027,381.41700000000003
2025Q4,Request for Service,2028,498.28700000000003
2025Q4,Request for Service,2029,2538.887
2025Q4,Request for Service,2030,2589.192
2025Q4,Request for Service,2031,3303.792
2025Q4,Request for Service,2032,3617.779
2025Q4,Request for Service,2033,3921.479
2025Q4,Request for Service,2034,3964.479
2025Q4,Request for Service,2035,3964.479
2025Q4,Request for Service,2036,3964.479
2025Q4,Request for Service,2037,3964.479
2025Q4,Technical Review,2025,0.0
2025Q4,Technical Review,2026,63.0
2025Q4,Technical Review,2027,3868.2
2025Q4,Technical Review,2028,14620.2
2025Q4,Technical Review,2029,24994.2
2025Q4,Technical Review,2030,36239.8
2025Q4,Technical Review,2031,43858.0
2025Q4,Technical Review,2032,49394.3
2025Q4,Technical Review,2033,51576.3
2025Q4,Technical Review,2034,52857.8
2025Q4,Technical Review,2035,53941.3
2025Q4,Technical Review,2036,53941.3
2025Q4,Technical Review,2037,54042.8
2026Q1,Contract for Electric Service,2026,1912.0
2026Q1,Contract for Electric Service,2027,4615.0
2026Q1,Contract for Electric Service,2028,7233.0
2026Q1,Contract for Electric Service,2029,9102.0
2026Q1,Contract for Electric Service,2030,9494.0
2026Q1,Contract for Electric Service,2031,9572.0
2026Q1,Contract for Electric Service,2032,9572.0
2026Q1,Contract for Electric Service,2033,9572.0
2026Q1,Contract for Electric Service,2034,9572.0
2026Q1,Contract for Electric Service,2035,9572.0
2026Q1,Contract for Electric Service,2036,9572.0
2026Q1,Contract for Electric Service,2037,9572.0
2026Q1,Request for Service,2026,0.0
2026Q1,Request for Service,2027,31.0
2026Q1,Request for Service,2028,523.0
2026Q1,Request for Service,2029,944.0
2026Q1,Request for Service,2030,1757.0
2026Q1,Request for Service,2031,2225.0
2026Q1,Request for Service,2032,2742.0
2026Q1,Request for Service,2033,2785.0
2026Q1,Request for Service,2034,2785.0
2026Q1,Request for Service,2035,2785.0
2026Q1,Request for Service,2036,2785.0
2026Q1,Request for Service,2037,2785.0
2026Q1,Technical Review,2026,0.0
2026Q1,Technical Review,2027,3011.0
2026Q1,Technical Review,2028,15823.0
2026Q1,Technical Review,2029,29033.0
2026Q1,Technical Review,2030,40775.0
2026Q1,Technical Review,2031,49880.0
2026Q1,Technical Review,2032,56127.0
2026Q1,Technical Review,2033,58467.0
2026Q1,Technical Review,2034,59589.0
2026Q1,Technical Review,2035,60672.0
2026Q1,Technical Review,2036,60672.0
2026Q1,Technical Review,2037,60762.0
